DATE,CORAL_NUM,GENOTYPE,LIGHT_DARK,RUN_NUM,CHAMBER,VOLUME,BLANK,START,END,TIME_IN,TIME_OUT,NOTES
5/31/24,82,A,DARK,1,5,360,0,12:27,13:01,11:40,15:23,
5/31/24,94,B,DARK,1,1,366,0,12:27,13:01,11:32,15:04,
5/31/24,29,C,DARK,1,8,422,0,12:27,13:01,11:48,15:33,
5/31/24,91,G,DARK,1,4,380,0,12:27,13:01,11:39,15:18,
5/31/24,75,H,DARK,1,6,370,0,12:27,13:01,11:42,15:27,
5/31/24,48,I,DARK,1,7,344,0,12:27,13:01,11:44,15:31,
5/31/24,105,J,DARK,1,9,358,0,12:27,13:01,11:50,15:38,
5/31/24,99,K,DARK,1,10,374,0,12:27,13:01,11:52,15:41,
5/31/24,33,L,DARK,1,3,356,0,12:27,13:01,11:37,15:14,
5/31/24,BLANK,BLANK,DARK,1,2,358,1,12:27,13:01,11:34,15:10,
5/31/24,55,D,DARK,2,2,368,0,16:55,17:32,16:46,19:04,
5/31/24,34,E,DARK,2,1,356,0,16:55,17:32,16:44,19:00,
5/31/24,31,F,DARK,2,3,368,0,16:55,17:32,16:47,19:09,
5/31/24,BLANK,BLANK,DARK,2,4,400,1,16:55,17:32,16:47,19:14,
5/31/24,82,A,LIGHT,1,5,360,0,13:49,14:55,11:40,15:23,
5/31/24,94,B,LIGHT,1,1,366,0,13:49,14:55,11:32,15:04,
5/31/24,29,C,LIGHT,1,8,422,0,13:49,14:55,11:48,15:33,
5/31/24,91,G,LIGHT,1,4,380,0,13:49,14:55,11:39,15:18,
5/31/24,75,H,LIGHT,1,6,370,0,13:49,14:55,11:42,15:27,
5/31/24,48,I,LIGHT,1,7,344,0,13:49,14:55,11:44,15:31,
5/31/24,105,J,LIGHT,1,9,358,0,13:49,14:55,11:50,15:38,
5/31/24,99,K,LIGHT,1,10,374,0,13:49,14:55,11:52,15:41,
5/31/24,33,L,LIGHT,1,3,356,0,13:49,14:55,11:37,15:14,
5/31/24,BLANK,BLANK,LIGHT,1,2,358,1,13:49,14:55,11:34,15:10,
5/31/24,55,D,LIGHT,2,2,368,0,17:50,18:56,16:46,19:04,
5/31/24,34,E,LIGHT,2,1,356,0,17:50,18:56,16:44,19:00,
5/31/24,31,F,LIGHT,2,3,368,0,17:50,18:56,16:47,19:09,
5/31/24,BLANK,BLANK,LIGHT,2,4,400,1,17:50,18:56,16:47,19:14,
6/1/24,49,M,DARK,1,2,363,0,9:30,10:00,9:15,11:51,
6/1/24,70,N,DARK,1,6,380,0,9:30,10:00,9:22,12:10,Replaced - don't use
6/1/24,26,O,DARK,1,4,368,0,9:30,10:00,9:18,12:02,Replaced - don't use
6/1/24,143,Q,DARK,1,1,363,0,9:30,10:00,9:12,11:45,
6/1/24,BLANK,BLANK,DARK,1,3,402,1,9:30,10:00,9:17,11:57,
6/1/24,12,T,DARK,2,9,380,0,14:24,14:58,14:15,17:03,
6/1/24,22,N,DARK,2,5,366,0,14:24,14:58,14:04,17:00,
6/1/24,35,R,DARK,2,2,362,0,14:24,14:58,13:57,16:46,
6/1/24,57,Q,DARK,2,8,362,0,14:24,14:58,14:14,17:03,
6/1/24,67,U,DARK,2,6,266,0,14:24,14:58,14:06,17:01,
6/1/24,83,S,DARK,2,7,356,0,14:24,14:58,14:11,17:02,
6/1/24,121,P,DARK,2,3,382,0,14:24,14:58,13:59,16:51,
6/1/24,144,V,DARK,2,10,382,0,14:24,14:58,14:17,17:03,
6/1/24,157,W,DARK,2,1,368,0,14:24,14:58,13:55,16:42,
6/1/24,BLANK,BLANK,DARK,2,4,402,1,14:24,14:58,14:01,16:56,
6/1/24,49,M,LIGHT,1,2,363,0,9:30,11:31,9:15,11:51,
6/1/24,70,N,LIGHT,1,6,380,0,9:30,11:31,9:22,12:10,Replaced - don't use
6/1/24,26,O,LIGHT,1,4,368,0,9:30,11:31,9:18,12:02,Replaced - don't use
6/1/24,143,Q,LIGHT,1,1,363,0,9:30,11:31,9:12,11:45,
6/1/24,BLANK,BLANK,LIGHT,1,3,402,1,9:30,11:31,9:17,11:57,
6/1/24,12,T,LIGHT,2,9,380,0,15:41,16:41,14:15,17:03,
6/1/24,22,N,LIGHT,2,5,366,0,15:41,16:41,14:04,17:00,
6/1/24,35,R,LIGHT,2,2,362,0,15:41,16:41,13:57,16:46,
6/1/24,57,Q,LIGHT,2,8,362,0,15:41,16:41,14:14,17:03,
6/1/24,67,U,LIGHT,2,6,266,0,15:41,16:41,14:06,17:01,
6/1/24,83,S,LIGHT,2,7,356,0,15:41,16:41,14:11,17:02,
6/1/24,121,P,LIGHT,2,3,382,0,15:41,16:41,13:59,16:51,
6/1/24,144,V,LIGHT,2,10,382,0,15:41,16:41,14:17,17:03,
6/1/24,157,W,LIGHT,2,1,368,0,15:41,16:41,13:55,16:42,
6/1/24,BLANK,BLANK,LIGHT,2,4,402,1,15:41,16:41,14:01,16:56,
6/5/24,152,E,DARK,1,5,360,0,10:08,10:41,10:05,12:33,
6/5/24,150,H,DARK,1,3,354,0,10:08,10:41,10:00,12:24,
6/5/24,163,O,DARK,1,1,364,0,10:08,10:41,9:55,12:14,
6/5/24,205,X,DARK,1,4,384,0,10:08,10:41,10:02,12:29,
6/5/24,BLANK,BLANK,DARK,1,2,390,1,10:08,10:41,9:57,12:18,
6/5/24,152,E,LIGHT,1,5,360,0,10:56,12:10,10:05,12:33,
6/5/24,150,H,LIGHT,1,3,354,0,10:56,12:10,10:00,12:24,
6/5/24,163,O,LIGHT,1,1,364,0,10:56,12:10,9:55,12:14,
6/5/24,205,X,LIGHT,1,4,384,0,10:56,12:10,10:02,12:29,
6/5/24,BLANK,BLANK,LIGHT,1,2,390,1,10:56,12:10,9:57,12:18,