Sample.ID1,Weight,Salinity
Junk,60.151,36.4
CRM,60.141,33.6
Junk2,60.218,36.4
C9_End_0626_1400,60.37,36.4
C10_End_0626_1400,59.807,36.4
C11_End_0626_1400,59.983,36.4
C12_End_0626_1400,60.046,36.4
C13_End_0626_1400,60.069,36.4
C14_End_0626_1400,60.233,36.4
C15_End_0626_1400,60.16,36.4
C16_End_0626_1400,59.917,36.4
Junk3,60.146,36.4
C17_End_0626_1400,60.167,36.4
C18_End_0626_1400,60.069,36.4
C19_End_0626_1400,59.993,36.4
C20_End_0626_1400,60.127,36.4
C21_End_0626_1400,59.827,36.4
C22_End_0626_1400,60.205,36.4
C23_End_0626_1400,60.022,36.4
C24_End_0626_1400,59.87,36.4
Junk4,59.846,36.4
C25_End_0626_1400,60.359,36.4
C26_End_0626_1400,60.201,36.4
C27_End_0626_1400,60.292,36.4
C28_End_0626_1400,60.098,36.4
C29_End_0626_1400,60.318,36.4
C30_End_0626_1400,59.857,36.4
C31_End_0626_1400,59.924,36.4
C32_End_0626_1400,60.163,36.4
Junk5,60.236,36.4
Tank1_Initial_0626_2100,59.977,36.4
Tank2_Initial_0626_2100,59.877,36.4
Tank3_Initial_0626_2100,60.086,36.4
Tank4_Initial_0626_2100,60.182,36.4
Tank5_Initial_0626_2100,59.831,36.4
Tank6_Initial_0626_2100,60.204,36.4
Tank7_Initial_0626_2100,60.06,36.4
Tank8_Initial_0626_2100,60.398,36.4
Junk6,59.858,36.4
Tank9_Initial_0626_2100,60.305,36.4
Tank10_Initial_0626_2100,60.322,36.4
Tank11_Initial_0626_2100,60.127,36.4
Tank12_Initial_0626_2100,59.882,36.4
Tank13_Initial_0626_2100,59.923,36.4
Tank14_Initial_0626_2100,60.353,36.4
Tank15_Initial_0626_2100,60.204,36.4
Tank16_Initial_0626_2100,59.864,36.4