TrisCalDate,TTris,mVTris
20240528,25.159,-99
20240528,26.192,-96.9
20240528,27.036,-96.5
20240528,28.126,-95.2
20240528,29.044,-94.2
20240528,30.172,-93.6
20240528,31.323,-91.9
20240528,32.107,-90.4
20240602,24.8,-97.3
20240602,27.06,-93.1
20240602,27.96,-92
20240602,28.53,-90.8
20240602,29.07,-90
20240606,23.422,-96.5
20240606,27.14,-92.9
20240606,27.839,-92
20240606,28.026,-91.9
20240606,28.966,-90.5
20240606,29.706,-88.9
20240606,30.447,-87.5
20240610,24.161,-96.7
20240610,25.491,-95.8
20240610,26.011,-94.2
20240610,26.908,-93.5
20240610,27.935,-92
20240610,28.857,-90.8
20240610,29.91,-89.8
20240610,30.922,-88.9
20240610,31.875,-87.2